日付,始値,高値,安値,終値,前月比,前月比％,売買高(株)
17/12/29,"1,804.80","1,833.28","1,761.18","1,817.56",+25.48,+1.4,"30,950,200,000"
17/11/30,"1,775.99","1,844.05","1,737.72","1,792.08",+26.12,+1.5,"36,399,500,000"
17/10/31,"1,677.77","1,772.59","1,671.05","1,765.96",+91.21,+5.4,"34,464,100,000"
17/09/29,"1,624.37","1,679.83","1,578.66","1,674.75",+57.34,+3.5,"33,642,500,000"
17/08/31,"1,619.13","1,642.34","1,589.05","1,617.41",-1.20,-0.1,"35,369,000,000"
17/07/31,"1,613.65","1,636.53","1,602.47","1,618.61",+6.71,+0.4,"34,460,200,000"
17/06/30,"1,570.47","1,627.54","1,570.24","1,611.90",+43.53,+2.8,"39,488,200,000"
17/05/31,"1,531.45","1,590.70","1,530.31","1,568.37",+36.57,+2.4,"37,720,800,000"
17/04/28,"1,518.90","1,538.89","1,452.15","1,531.80",+19.20,+1.3,"38,340,500,000"
17/03/31,"1,543.11","1,578.51","1,512.60","1,512.60",-22.72,-1.5,"39,805,100,000"
17/02/28,"1,511.26","1,559.51","1,507.08","1,535.32",+13.65,+0.9,"38,831,300,000"
17/01/31,"1,533.04","1,558.45","1,495.03","1,521.67",+3.06,+0.2,"36,130,600,000"
16/12/30,"1,486.08","1,558.75","1,462.07","1,518.61",+49.18,+3.3,"46,474,600,000"
16/11/30,"1,391.97","1,473.02","1,287.39","1,469.43",+76.41,+5.5,"48,211,600,000"
16/10/31,"1,332.14","1,393.44","1,329.06","1,393.02",+70.24,+5.3,"34,291,100,000"
16/09/30,"1,330.77","1,357.41","1,296.39","1,322.78",-6.76,-0.5,"35,745,200,000"
16/08/31,"1,308.30","1,331.00","1,262.86","1,329.54",+6.80,+0.5,"38,971,000,000"
16/07/29,"1,254.87","1,347.24","1,209.88","1,322.74",+76.92,+6.2,"41,089,200,000"
16/06/30,"1,369.96","1,374.37","1,192.80","1,245.82",-133.98,-9.7,"44,638,000,000"
16/05/31,"1,316.57","1,380.88","1,289.01","1,379.80",+39.25,+2.9,"38,088,500,000"
16/04/28,"1,343.24","1,412.98","1,250.77","1,340.55",-6.65,-0.5,"45,787,400,000"
16/03/31,"1,295.16","1,384.35","1,284.50","1,347.20",+49.35,+3.8,"47,508,800,000"
16/02/29,"1,448.04","1,463.79","1,193.85","1,297.85",-134.22,-9.4,"58,178,400,000"
16/01/29,"1,532.53","1,544.73","1,301.49","1,432.07",-115.23,-7.4,"46,512,100,000"
15/12/30,"1,585.52","1,607.27","1,502.55","1,547.30",-32.95,-2.1,"42,079,200,000"
15/11/30,"1,539.44","1,609.76","1,523.34","1,580.25",+22.05,+1.4,"40,549,500,000"
15/10/30,"1,422.36","1,570.06","1,414.20","1,558.20",+147.04,+10.4,"45,059,200,000"
