日付,始値,高値,安値,終値,前週比,前週比％,売買高(株)
18/01/05,"5,250","5,478","5,214","5,464",+381,+7.5,"22,224,900"
17/12/29,"5,199","5,266","5,078","5,083",-109,-2.1,"17,136,200"
17/12/22,"5,068","5,192","5,067","5,192",+186,+3.7,"24,468,200"
17/12/15,"5,190","5,191","4,976","5,006",-153,-3.0,"34,695,800"
17/12/08,"5,157","5,250","5,017","5,159",+8,+0.2,"38,146,300"
17/12/01,"5,360","5,441","5,093","5,151",-172,-3.2,"46,694,500"
17/11/24,"5,171","5,358","5,160","5,323",+108,+2.1,"30,465,400"
17/11/17,"5,276","5,370","5,024","5,215",-37,-0.7,"60,725,600"
17/11/10,"5,100","5,485","5,099","5,252",+198,+3.9,"100,432,800"
17/11/02,"4,310","5,092","4,284","5,054",+775,+18.1,"83,141,600"
17/10/27,"4,290","4,317","4,227","4,279",+42,+1.0,"28,133,700"
17/10/20,"4,140","4,265","4,125","4,237",+124,+3.0,"30,171,600"
17/10/13,"4,151","4,152","4,039","4,113",-38,-0.9,"31,616,900"
17/10/06,"4,190","4,253","4,124","4,151",-35,-0.8,"26,354,900"
17/09/29,"4,200","4,206","4,067","4,186",+12,+0.3,"28,803,000"
17/09/22,"4,311","4,318","4,149","4,174",-67,-1.6,"27,607,400"
17/09/15,"4,365","4,475","4,196","4,241",-57,-1.3,"39,698,200"
17/09/08,"4,365","4,377","4,242","4,298",-78,-1.8,"25,593,400"
17/09/01,"4,205","4,393","4,165","4,376",+177,+4.2,"38,518,600"
17/08/25,"4,220","4,255","4,159","4,199",-27,-0.6,"25,079,100"
17/08/18,"4,201","4,349","4,195","4,226",-112,-2.6,"28,739,800"
17/08/10,"4,450","4,500","4,324","4,338",-96,-2.2,"22,185,200"
17/08/04,"4,510","4,567","4,333","4,434",-99,-2.2,"35,049,800"
17/07/28,"4,480","4,616","4,452","4,533",-6,-0.1,"26,211,600"
17/07/21,"4,517","4,554","4,472","4,539",+40,+0.9,"15,915,000"
