日付,始値,高値,安値,終値,前週比,前週比％,売買高(株)
18/01/05,628,630,622,626,+5,+0.8,"5,250,000"
17/12/29,616,625,609,621,+5,+0.8,"11,493,500"
17/12/22,642,642,611,616,-21,-3.3,"20,795,700"
17/12/15,621,646,619,637,+18,+2.9,"27,010,400"
17/12/08,615,620,604,619,+12,+2.0,"18,511,500"
17/12/01,590,615,588,607,+15,+2.5,"37,268,500"
17/11/24,581,595,578,592,+9,+1.5,"17,185,700"
17/11/17,582,589,571,583,+1,+0.2,"27,177,500"
17/11/10,603,610,579,582,-24,-4.0,"32,543,300"
17/11/02,610,613,599,606,-3,-0.5,"11,197,700"
17/10/27,612,615,593,609,+3,+0.5,"21,532,100"
17/10/20,608,618,604,606,0,0.0,"14,559,900"
17/10/13,605,613,601,606,-1,-0.2,"13,541,700"
17/10/06,617,617,603,607,-8,-1.3,"14,525,100"
17/09/29,598,617,592,615,+22,+3.7,"27,440,300"
17/09/22,597,599,592,593,-2,-0.3,"12,522,400"
17/09/15,587,600,586,595,+11,+1.9,"16,719,000"
17/09/08,589,591,578,584,-3,-0.5,"17,819,500"
17/09/01,585,599,585,587,+3,+0.5,"15,710,600"
17/08/25,585,587,572,584,0,0.0,"18,948,900"
17/08/18,587,597,582,584,-6,-1.0,"16,622,500"
17/08/10,590,596,584,590,+6,+1.0,"13,112,600"
17/08/04,590,607,582,584,-3,-0.5,"29,763,900"
17/07/28,563,588,563,587,+24,+4.3,"18,811,600"
17/07/21,558,574,556,563,+5,+0.9,"13,339,300"
17/07/14,568,569,558,558,-7,-1.2,"14,377,900"
17/07/07,558,571,556,565,+7,+1.3,"16,929,600"
17/06/30,571,573,556,558,-11,-1.9,"18,142,400"
17/06/23,567,576,564,569,+6,+1.1,"15,969,100"
17/06/16,568,571,560,563,-3,-0.5,"16,011,600"
17/06/09,590,590,566,566,-24,-4.1,"18,241,400"
17/06/02,592,594,581,590,+2,+0.3,"19,201,400"
17/05/26,569,592,564,588,+23,+4.1,"19,451,300"
17/05/19,561,570,560,565,+5,+0.9,"17,586,300"
17/05/12,586,604,556,560,-25,-4.3,"36,110,100"
17/05/02,584,585,579,585,0,0.0,"5,706,400"
17/04/28,572,585,567,585,+14,+2.5,"19,134,200"
17/04/21,549,571,547,571,+21,+3.8,"16,096,300"
17/04/14,558,564,545,550,-2,-0.4,"16,666,600"
17/04/07,560,560,543,552,-3,-0.5,"19,437,000"
17/03/31,580,586,555,555,-27,-4.6,"25,241,100"
17/03/24,575,586,570,582,+7,+1.2,"14,086,200"
17/03/17,580,583,571,575,-4,-0.7,"13,751,400"
17/03/10,571,582,571,579,+8,+1.4,"14,563,400"
17/03/03,569,585,565,571,+2,+0.4,"19,370,400"
17/02/24,579,584,569,569,-7,-1.2,"15,924,800"
17/02/17,572,587,567,576,+4,+0.7,"16,886,600"
17/02/10,578,580,561,572,-6,-1.0,"23,677,600"
17/02/03,638,640,575,578,-63,-9.8,"31,888,300"
17/01/27,626,644,620,641,+6,+0.9,"16,710,700"
17/01/20,637,640,611,635,0,0.0,"17,321,100"
17/01/13,630,640,629,635,0,0.0,"13,974,300"
17/01/06,635,649,632,635,+5,+0.8,"12,390,100"
16/12/30,644,644,625,630,-7,-1.1,"14,610,600"
16/12/22,623,638,621,637,+8,+1.3,"15,045,800"
16/12/16,638,640,615,629,-5,-0.8,"24,535,700"
16/12/09,609,638,604,634,+17,+2.8,"25,117,900"
16/12/02,600,621,596,617,+17,+2.8,"27,159,200"
16/11/25,580,604,575,600,+23,+4.0,"22,956,200"
16/11/18,534,580,530,577,+40,+7.4,"24,865,200"
16/11/11,548,562,535,537,-4,-0.7,"26,457,300"
16/11/04,545,554,537,541,0,0.0,"16,606,100"
16/10/28,535,548,530,541,+6,+1.1,"19,656,200"
16/10/21,511,536,510,535,+18,+3.5,"17,349,300"
16/10/14,500,517,500,517,+16,+3.2,"11,655,400"
16/10/07,502,516,501,501,+1,+0.2,"16,276,700"
16/09/30,511,516,497,500,-9,-1.8,"22,406,000"
16/09/23,505,512,503,509,+10,+2.0,"11,341,500"
16/09/16,491,505,491,499,+3,+0.6,"14,582,200"
16/09/09,490,503,484,496,+14,+2.9,"18,784,000"
16/09/02,492,495,478,482,-7,-1.4,"23,251,400"
16/08/26,499,510,489,489,-7,-1.4,"18,208,500"
16/08/19,519,520,492,496,-22,-4.2,"18,785,200"
16/08/12,524,529,491,518,+4,+0.8,"29,565,200"
16/08/05,537,543,510,514,-28,-5.2,"17,350,800"
16/07/29,542,543,528,542,-1,-0.2,"20,197,400"
16/07/22,552,558,538,543,-1,-0.2,"15,036,400"
16/07/15,550,570,541,544,+8,+1.5,"29,036,900"
16/07/08,546,559,535,536,-15,-2.7,"24,472,200"
16/07/01,524,554,519,551,+40,+7.8,"30,336,500"
16/06/24,513,536,504,511,+6,+1.2,"23,332,000"
16/06/17,512,518,500,505,-18,-3.4,"22,346,900"
16/06/10,511,528,508,523,+7,+1.4,"19,426,000"
16/06/03,497,526,496,516,+23,+4.7,"35,084,500"
16/05/27,500,501,484,493,-8,-1.6,"29,383,700"
16/05/20,520,534,497,501,-22,-4.2,"35,819,800"
16/05/13,535,565,519,523,-18,-3.3,"40,207,000"
16/05/06,542,557,534,541,-9,-1.6,"10,811,500"
16/04/28,561,565,547,550,-18,-3.2,"21,416,800"
16/04/22,562,587,558,568,-7,-1.2,"21,613,300"
16/04/15,557,580,549,575,+17,+3.0,"21,500,500"
16/04/08,540,566,538,558,+24,+4.5,"40,926,900"
16/04/01,550,554,531,534,-12,-2.2,"38,749,500"
16/03/25,586,586,543,546,-34,-5.9,"31,102,900"
16/03/18,603,607,578,580,-22,-3.7,"31,288,800"
16/03/11,597,609,578,602,+9,+1.5,"40,570,500"
16/03/04,554,596,552,593,+42,+7.6,"35,423,100"
16/02/26,516,554,515,551,+30,+5.8,"30,139,800"
16/02/19,538,544,506,521,+3,+0.6,"38,167,400"
16/02/12,560,583,518,518,-48,-8.5,"33,152,800"
16/02/05,585,586,560,566,-15,-2.6,"32,167,200"
16/01/29,547,583,542,581,+40,+7.4,"36,885,900"
16/01/22,565,569,520,541,-35,-6.1,"39,358,900"
16/01/15,526,582,517,576,+46,+8.7,"36,333,700"
16/01/08,522,552,515,530,+7,+1.3,"31,622,000"
15/12/30,516,526,507,523,+9,+1.8,"8,682,600"
15/12/25,530,533,511,514,-12,-2.3,"13,361,300"
15/12/18,530,546,526,526,-12,-2.2,"21,263,000"
15/12/11,564,572,536,538,-21,-3.8,"23,811,400"
15/12/04,557,567,551,559,+1,+0.2,"22,213,700"
15/11/27,574,580,552,558,-20,-3.5,"22,189,800"
15/11/20,576,586,571,578,-8,-1.4,"22,681,200"
15/11/13,589,595,566,586,0,0.0,"29,682,300"
15/11/06,546,594,532,586,+39,+7.1,"54,263,500"
15/10/30,567,580,538,547,-13,-2.3,"73,968,600"
15/10/23,554,570,548,560,+9,+1.6,"32,896,700"
15/10/16,524,563,523,551,+18,+3.4,"47,006,400"
15/10/09,497,539,487,533,+29,+5.8,"60,985,600"
15/10/02,476,509,472,504,+38,+8.2,"43,347,100"
15/09/25,470,473,458,466,-7,-1.5,"15,034,300"
15/09/18,476,491,467,473,+1,+0.2,"30,608,500"
15/09/11,437,478,431,472,+38,+8.8,"32,849,400"
15/09/04,468,473,430,434,-30,-6.5,"27,081,300"
15/08/28,457,467,430,464,-3,-0.6,"39,865,400"
15/08/21,500,505,463,467,-31,-6.2,"18,280,100"
15/08/14,500,507,490,498,-12,-2.4,"23,228,000"
15/08/07,472,515,463,510,+36,+7.6,"27,217,500"
15/07/31,480,480,459,474,-5,-1.0,"18,874,000"
15/07/24,480,481,474,479,+1,+0.2,"14,359,100"
15/07/17,462,479,457,478,+18,+3.9,"19,675,100"
15/07/10,480,486,448,460,-25,-5.2,"32,508,200"
15/07/03,500,507,483,485,-22,-4.3,"16,641,200"
15/06/26,503,520,501,507,+1,+0.2,"15,912,700"
15/06/19,518,522,501,506,-13,-2.5,"15,708,800"
15/06/12,541,541,511,519,-24,-4.4,"19,278,100"
15/06/05,524,549,524,543,+20,+3.8,"27,356,800"
15/05/29,530,554,522,523,-2,-0.4,"53,950,400"
15/05/22,496,532,493,525,+28,+5.6,"32,744,400"
15/05/15,504,514,489,497,0,0.0,"31,099,800"
15/05/08,485,515,484,497,+4,+0.8,"30,791,400"
