日付,始値,高値,安値,終値,前週比,前週比％,売買高(株)
18/01/05,"45,580","47,100","45,510","46,840","+1,930",+4.3,"1,729,000"
17/12/29,"44,630","45,410","44,460","44,910",-50,-0.1,"1,586,800"
17/12/22,"45,100","45,900","44,510","44,960",+360,+0.8,"2,152,400"
17/12/15,"44,800","45,080","43,840","44,600",-70,-0.2,"2,645,500"
17/12/08,"43,660","45,470","42,130","44,670","+1,010",+2.3,"5,600,800"
17/12/01,"41,080","44,120","40,770","43,660","+2,930",+7.2,"4,225,400"
17/11/24,"40,190","41,090","39,910","40,730",+450,+1.1,"2,246,100"
17/11/17,"40,310","41,120","38,800","40,280",-370,-0.9,"4,990,700"
17/11/10,"38,300","41,200","38,140","40,650","+2,880",+7.6,"6,322,400"
17/11/02,"38,010","38,160","37,060","37,770",-100,-0.3,"2,669,100"
17/10/27,"37,000","38,120","36,580","37,870","+1,350",+3.7,"3,549,100"
17/10/20,"36,870","36,960","35,940","36,520",-250,-0.7,"3,827,500"
17/10/13,"35,120","37,020","34,760","36,770","+1,540",+4.4,"3,868,600"
17/10/06,"33,340","35,380","33,210","35,230","+2,040",+6.1,"4,431,800"
17/09/29,"33,280","33,740","32,660","33,190",+110,+0.3,"3,007,100"
17/09/22,"32,600","33,670","32,490","33,080",+930,+2.9,"2,768,900"
17/09/15,"30,260","32,240","30,150","32,150","+2,150",+7.2,"3,249,000"
17/09/08,"31,400","31,730","30,000","30,000","-1,620",-5.1,"4,057,800"
17/09/01,"31,840","32,040","30,460","31,620",-120,-0.4,"2,599,000"
17/08/25,"31,390","31,850","30,640","31,740",+390,+1.2,"2,447,900"
17/08/18,"32,010","32,830","31,270","31,350","-1,130",-3.5,"2,478,800"
17/08/10,"33,160","33,390","32,350","32,480",-630,-1.9,"1,982,700"
17/08/04,"33,100","33,750","32,940","33,110",-200,-0.6,"2,418,700"
17/07/28,"33,000","33,590","32,840","33,310",+60,+0.2,"2,719,800"
17/07/21,"34,500","34,520","33,070","33,250","-1,320",-3.8,"3,267,000"
17/07/14,"37,070","37,360","34,500","34,570","-2,250",-6.1,"3,449,700"
17/07/07,"37,490","38,230","36,380","36,820",-600,-1.6,"2,336,000"
17/06/30,"36,770","37,780","36,690","37,420",+560,+1.5,"2,160,900"
17/06/23,"36,900","37,440","36,590","36,860",+10,0.0,"2,026,400"
17/06/16,"37,700","37,990","36,380","36,850","-1,210",-3.2,"2,603,700"
17/06/09,"38,380","38,590","37,180","38,060",-180,-0.5,"3,192,300"
17/06/02,"36,670","38,710","36,660","38,240","+1,440",+3.9,"2,591,500"
17/05/26,"37,410","37,630","36,780","36,800",-590,-1.6,"1,959,700"
17/05/19,"37,990","38,370","36,990","37,390","-1,020",-2.7,"2,521,500"
17/05/12,"37,100","38,820","36,970","38,410","+2,410",+6.7,"4,085,900"
17/05/02,"35,900","36,050","35,550","36,000",-360,-1.0,"984,000"
17/04/28,"35,350","36,940","35,330","36,360","+1,250",+3.6,"3,162,600"
17/04/21,"35,240","35,420","34,550","35,110",-220,-0.6,"3,163,400"
17/04/14,"34,720","35,620","34,700","35,330",+830,+2.4,"3,438,300"
17/04/07,"34,980","35,380","34,210","34,500",-420,-1.2,"3,665,200"
17/03/31,"35,410","35,480","34,390","34,920",-900,-2.5,"3,022,300"
17/03/24,"35,640","35,910","34,770","35,820",-220,-0.6,"2,257,200"
17/03/17,"36,500","36,870","35,850","36,040",-800,-2.2,"2,079,100"
17/03/10,"37,000","37,110","35,570","36,840",-430,-1.2,"3,644,400"
17/03/03,"34,800","37,540","34,780","37,270","+2,090",+5.9,"3,305,200"
17/02/24,"35,000","35,730","34,700","35,180",0,0.0,"1,984,400"
17/02/17,"37,400","37,410","35,060","35,180","-1,760",-4.8,"2,465,000"
17/02/10,"35,600","37,040","35,000","36,940","+1,680",+4.8,"2,722,000"
17/02/03,"36,500","36,640","34,640","35,260","-1,700",-4.6,"3,063,700"
17/01/27,"36,800","37,030","35,330","36,960",-280,-0.8,"4,074,800"
17/01/20,"38,010","38,170","36,660","37,240","-1,190",-3.1,"3,581,900"
17/01/13,"38,620","39,380","37,930","38,430","-1,290",-3.2,"3,864,900"
17/01/06,"42,480","43,330","39,720","39,720","-2,110",-5.0,"2,600,400"
16/12/30,"43,310","43,970","41,700","41,830","-1,650",-3.8,"2,156,600"
16/12/22,"42,790","44,370","42,740","43,480",+350,+0.8,"1,898,600"
16/12/16,"43,950","44,000","42,550","43,130",+540,+1.3,"2,928,000"
16/12/09,"40,060","42,970","39,690","42,590","+1,930",+4.7,"4,390,900"
16/12/02,"41,260","41,440","39,570","40,660",-710,-1.7,"3,395,100"
16/11/25,"40,210","42,020","39,510","41,370","+1,180",+2.9,"2,468,200"
16/11/18,"37,730","40,620","37,680","40,190","+2,590",+6.9,"3,564,200"
16/11/11,"36,020","37,940","33,520","37,600","+2,090",+5.9,"5,275,700"
16/11/04,"35,690","36,050","35,310","35,510",-470,-1.3,"1,606,400"
16/10/28,"36,650","36,940","35,600","35,980",-320,-0.9,"1,999,900"
16/10/21,"34,710","36,850","34,180","36,300","+1,500",+4.3,"2,823,100"
16/10/14,"33,580","35,090","33,010","34,800","+1,300",+3.9,"3,220,900"
16/10/07,"32,800","34,460","32,580","33,500","+1,210",+3.7,"2,506,000"
16/09/30,"32,780","33,350","31,800","32,290",-940,-2.8,"2,945,200"
16/09/23,"33,480","33,760","31,010","33,230","-1,130",-3.3,"3,271,000"
16/09/16,"35,930","36,180","33,600","34,360","-1,970",-5.4,"2,602,800"
16/09/09,"36,500","37,520","35,970","36,330",+630,+1.8,"3,403,300"
16/09/02,"35,910","36,750","35,340","35,700",+330,+0.9,"3,132,800"
16/08/26,"37,270","37,360","34,660","35,370","-1,780",-4.8,"4,286,600"
16/08/19,"38,140","38,230","36,450","37,150",-930,-2.4,"3,313,500"
16/08/12,"37,800","38,250","36,930","38,080","+1,440",+3.9,"3,515,100"
16/08/05,"33,300","36,880","33,110","36,640","+3,210",+9.6,"5,395,900"
16/07/29,"32,630","34,240","32,210","33,430",+790,+2.4,"2,995,000"
16/07/22,"34,500","35,000","32,530","32,640",-20,-0.1,"3,283,700"
16/07/15,"26,200","32,660","26,105","32,660","+7,215",+28.4,"4,678,300"
16/07/08,"26,800","27,920","25,305","25,445","-1,915",-7.0,"4,075,800"
16/07/01,"26,795","27,980","26,325","27,360","+1,065",+4.1,"3,514,100"
16/06/24,"27,940","29,925","26,120","26,295","-1,255",-4.6,"4,033,300"
16/06/17,"29,380","29,605","27,210","27,550","-2,265",-7.6,"3,955,800"
16/06/10,"29,420","30,500","29,335","29,815",-305,-1.0,"3,741,300"
16/06/03,"29,195","30,450","28,100","30,120","+1,120",+3.9,"3,728,600"
16/05/27,"28,520","29,745","27,515","29,000",+225,+0.8,"3,108,000"
16/05/20,"28,655","29,065","27,930","28,775",+275,+1.0,"2,998,500"
16/05/13,"28,195","29,520","28,050","28,500",+480,+1.7,"3,150,200"
16/05/06,"27,685","28,330","27,355","28,020","-1,165",-4.0,"1,940,500"
16/04/28,"32,110","32,490","29,160","29,185","-2,765",-8.7,"4,629,800"
16/04/22,"28,640","32,220","28,030","31,950","+2,335",+7.9,"5,620,900"
16/04/15,"26,620","30,250","26,320","29,615","+3,005",+11.3,"5,820,600"
16/04/08,"33,770","34,080","26,395","26,610","-7,460",-21.9,"5,266,500"
16/04/01,"36,690","37,050","33,860","34,070","-2,340",-6.4,"2,894,600"
16/03/25,"35,760","36,900","35,100","36,410","+1,290",+3.7,"2,247,300"
16/03/18,"35,400","36,950","34,840","35,120",+530,+1.5,"3,221,400"
16/03/11,"34,810","34,850","33,350","34,590",+180,+0.5,"4,179,400"
16/03/04,"31,520","34,700","30,910","34,410","+2,870",+9.1,"4,120,500"
16/02/26,"31,130","32,560","30,760","31,540",+40,+0.1,"3,172,300"
16/02/19,"33,130","33,530","30,720","31,500",-890,-2.7,"4,869,700"
16/02/12,"34,030","35,330","31,060","32,390","-2,200",-6.4,"5,093,200"
16/02/05,"38,610","38,710","34,080","34,590","-3,840",-10.0,"4,608,800"
16/01/29,"37,650","39,890","36,660","38,430","+1,010",+2.7,"4,955,200"
16/01/22,"36,370","37,710","34,540","37,420",+420,+1.1,"5,530,300"
16/01/15,"37,210","38,720","36,810","37,000","-1,140",-3.0,"3,529,200"
16/01/08,"42,000","42,200","36,180","38,140","-4,500",-10.6,"5,782,000"
15/12/30,"43,240","43,350","41,860","42,640",-500,-1.2,"1,219,800"
15/12/25,"43,650","44,240","42,850","43,140",-930,-2.1,"1,887,600"
15/12/18,"44,540","47,120","43,880","44,070","-1,870",-4.1,"4,018,100"
15/12/11,"47,470","47,960","45,190","45,940",-780,-1.7,"3,289,900"
15/12/04,"49,610","50,080","46,560","46,720","-2,920",-5.9,"3,235,800"
15/11/27,"48,150","49,840","47,810","49,640","+1,430",+3.0,"1,709,900"
15/11/20,"46,460","48,870","46,300","48,210",+720,+1.5,"2,838,700"
15/11/13,"46,390","48,200","46,250","47,490","+2,090",+4.6,"2,957,500"
15/11/06,"43,760","45,430","43,150","45,400","+1,020",+2.3,"2,113,200"
15/10/30,"44,480","44,560","42,930","44,380",+510,+1.2,"2,592,700"
15/10/23,"43,060","44,290","42,940","43,870",+470,+1.1,"2,862,200"
15/10/16,"43,600","43,680","41,650","43,400",-500,-1.1,"4,135,200"
15/10/09,"49,260","50,700","43,710","43,900","-4,830",-9.9,"4,864,900"
15/10/02,"46,850","49,940","46,400","48,730","+1,930",+4.1,"3,652,700"
15/09/25,"45,000","46,800","44,660","46,800",+640,+1.4,"1,306,400"
15/09/18,"48,060","48,250","45,895","46,160","-1,460",-3.1,"3,103,600"
15/09/11,"46,110","49,725","45,125","47,620","+1,155",+2.5,"5,983,100"
15/09/04,"50,430","50,640","46,120","46,465","-4,365",-8.6,"3,738,400"
15/08/28,"51,440","52,890","46,210","50,830","-1,340",-2.6,"5,498,400"
15/08/21,"55,390","55,940","52,140","52,170","-2,820",-5.1,"2,302,500"
15/08/14,"56,050","57,320","54,000","54,990","-1,710",-3.0,"3,480,500"
15/08/07,"60,820","61,830","56,200","56,700","-4,670",-7.6,"3,274,700"
15/07/31,"57,840","61,970","57,520","61,370","+3,120",+5.4,"2,738,200"
15/07/24,"57,800","60,000","57,580","58,250","+1,030",+1.8,"1,844,500"
15/07/17,"54,000","57,440","53,650","57,220","+3,210",+5.9,"2,814,500"
15/07/10,"54,570","57,460","53,740","54,010","-1,730",-3.1,"5,326,600"
15/07/03,"55,500","58,400","54,530","55,740",-500,-0.9,"3,341,600"
15/06/26,"52,380","57,000","52,350","56,240","+4,070",+7.8,"2,796,700"
15/06/19,"52,320","53,100","52,050","52,170",-600,-1.1,"1,954,300"
15/06/12,"51,330","53,400","50,580","52,770","+1,810",+3.6,"3,496,500"
15/06/05,"51,120","51,500","50,520","50,960",-340,-0.7,"1,972,500"
15/05/29,"50,150","51,640","50,150","51,300","+1,000",+2.0,"2,370,200"
15/05/22,"48,505","50,630","48,280","50,300","+1,735",+3.6,"2,248,100"
15/05/15,"47,820","49,545","47,660","48,565","+1,445",+3.1,"2,789,100"
15/05/08,"47,295","47,790","47,015","47,120",-470,-1.0,"1,430,800"
15/05/01,"48,700","49,145","47,075","47,590","-1,115",-2.3,"2,435,800"
15/04/24,"47,600","49,600","47,400","48,705",+945,+2.0,"2,504,200"
15/04/17,"50,200","50,350","47,750","47,760","-1,940",-3.9,"2,307,500"
15/04/10,"47,395","50,650","47,020","49,700","+2,090",+4.4,"3,847,600"
15/04/03,"46,455","47,880","46,410","47,610","+1,385",+3.0,"3,651,600"
15/03/27,"46,900","47,480","45,720","46,225",-590,-1.3,"2,527,900"
15/03/20,"46,190","46,845","45,410","46,815",+540,+1.2,"2,608,800"
15/03/13,"45,680","46,520","44,105","46,275",+160,+0.3,"4,295,300"
15/03/06,"46,525","47,065","45,690","46,115",-215,-0.5,"2,208,800"
15/02/27,"43,545","46,665","43,270","46,330","+3,420",+8.0,"3,175,000"
15/02/20,"44,115","44,295","42,810","42,910","-1,095",-2.5,"2,159,100"
15/02/13,"44,435","44,445","43,235","44,005",0,0.0,"2,006,000"
15/02/06,"43,400","44,270","42,055","44,005",-15,0.0,"2,416,800"
15/01/30,"41,945","44,400","41,900","44,020","+1,375",+3.2,"2,663,500"
15/01/23,"41,850","43,095","41,210","42,645","+1,275",+3.1,"2,539,200"
15/01/16,"44,060","44,295","40,610","41,370","-3,390",-7.6,"3,945,000"
15/01/09,"43,580","46,325","43,005","44,760",+720,+1.6,"4,330,000"
14/12/30,"45,730","45,865","44,040","44,040","-1,290",-2.8,"1,205,900"
14/12/26,"44,830","45,880","44,440","45,330",+600,+1.3,"1,879,200"
14/12/19,"41,525","44,730","41,335","44,730","+1,930",+4.5,"4,508,100"
14/12/12,"43,245","43,620","41,010","42,800",-440,-1.0,"4,056,000"
14/12/05,"42,715","44,385","42,715","43,240",+35,+0.1,"2,455,700"
14/11/28,"43,175","43,370","41,940","43,205",+105,+0.2,"1,847,700"
14/11/21,"43,800","43,910","42,110","43,100","-1,105",-2.5,"3,492,800"
14/11/14,"41,800","44,730","41,240","44,205","+1,880",+4.4,"5,341,800"
14/11/07,"42,465","43,335","41,100","42,325","+1,960",+4.9,"4,559,900"
14/10/31,"37,085","40,900","36,120","40,365","+3,620",+9.9,"4,078,300"
14/10/24,"37,445","37,940","36,285","36,745",0,0.0,"3,732,500"
14/10/17,"37,500","37,740","36,555","36,745","-1,145",-3.0,"3,777,400"
