日付,始値,高値,安値,終値,前週比,前週比％,売買高(株)
18/01/05,"1,569","1,618","1,487","1,490",-62,-4.0,"1,209,000"
17/12/29,"1,469","1,568","1,462","1,552",+85,+5.8,"1,265,500"
17/12/22,"1,441","1,477","1,431","1,467",+41,+2.9,"709,400"
17/12/15,"1,445","1,478","1,396","1,426",-7,-0.5,"1,117,700"
17/12/08,"1,337","1,438","1,330","1,433",+106,+8.0,"1,056,000"
17/12/01,"1,348","1,349","1,278","1,327",-6,-0.5,"705,200"
17/11/24,"1,211","1,385","1,207","1,333",+117,+9.6,"1,468,600"
17/11/17,"1,207","1,234","1,143","1,216",-4,-0.3,"882,900"
17/11/10,"1,217","1,263","1,183","1,220",-6,-0.5,"826,800"
17/11/02,"1,189","1,244","1,178","1,226",+28,+2.3,"1,127,100"
17/10/27,"1,188","1,208","1,167","1,198",+24,+2.0,"843,000"
17/10/20,"1,115","1,207","1,069","1,174",+65,+5.9,"1,439,600"
17/10/13,"1,035","1,122","1,008","1,109",+75,+7.3,"1,192,000"
17/10/06,"1,000","1,042",985,"1,034",+34,+3.4,"629,000"
17/09/29,"1,018","1,037",983,"1,000",-9,-0.9,"679,000"
17/09/22,"1,038","1,117","1,006","1,009",-32,-3.1,"925,100"
17/09/15,976,"1,042",973,"1,041",+75,+7.8,"857,200"
17/09/08,964,984,941,966,+3,+0.3,"556,400"
17/09/01,956,964,936,963,+10,+1.0,"494,500"
17/08/25,913,953,900,953,+42,+4.6,"526,800"
17/08/18,941,951,911,911,-43,-4.5,"463,800"
17/08/10,982,988,935,954,-20,-2.1,"507,000"
17/08/04,933,974,923,974,+36,+3.8,"693,500"
17/07/28,928,943,913,938,+10,+1.1,"768,200"
17/07/21,964,964,923,928,-38,-3.9,"816,300"
17/07/14,"1,000","1,007",957,966,-27,-2.7,"821,900"
17/07/07,"1,064","1,083",992,993,-79,-7.4,"528,300"
17/06/30,"1,076","1,102","1,064","1,072",-3,-0.3,"507,600"
17/06/23,"1,021","1,095","1,012","1,075",+55,+5.4,"614,800"
17/06/16,975,"1,025",970,"1,020",+37,+3.8,"416,900"
17/06/09,"1,006","1,007",961,983,-28,-2.8,"627,400"
17/06/02,978,"1,028",960,"1,011",+41,+4.2,"811,600"
17/05/26,983,991,967,970,-18,-1.8,"401,100"
17/05/19,"1,013","1,019",961,988,-25,-2.5,"440,900"
17/05/12,"1,020","1,049","1,000","1,013",+24,+2.4,"778,700"
17/05/02,944,"1,006",936,989,+48,+5.1,"364,500"
17/04/28,958,992,934,941,-2,-0.2,"773,800"
17/04/21,941,974,906,943,-9,-0.9,"737,100"
17/04/14,"1,013","1,045",940,952,-59,-5.8,"637,700"
17/04/07,"1,051","1,077",998,"1,011",-43,-4.1,"515,000"
17/03/31,"1,033","1,081","1,023","1,054",0,0.0,"428,900"
17/03/24,"1,031","1,059","1,005","1,054",+5,+0.5,"309,600"
17/03/17,"1,009","1,049","1,007","1,049",+39,+3.9,"475,600"
17/03/10,"1,026","1,026",986,"1,010",-20,-1.9,"404,200"
17/03/03,"1,020","1,053","1,003","1,030",+2,+0.2,"479,400"
17/02/24,999,"1,057",992,"1,028",+25,+2.5,"478,500"
17/02/17,"1,048","1,054",989,"1,003",-75,-7.0,"626,700"
17/02/10,997,"1,111",975,"1,078",+96,+9.8,"646,000"
17/02/03,989,"1,003",960,982,-16,-1.6,"436,300"
17/01/27,972,"1,007",948,998,+14,+1.4,"455,200"
17/01/20,"1,008","1,011",932,984,-35,-3.4,"837,000"
17/01/13,"1,054","1,069",984,"1,019",-39,-3.7,"440,100"
17/01/06,"1,028","1,114","1,026","1,058",+34,+3.3,"419,400"
16/12/30,"1,090","1,100","1,009","1,024",-62,-5.7,"550,500"
16/12/22,"1,124","1,130","1,065","1,086",-45,-4.0,"343,700"
16/12/16,"1,104","1,135","1,066","1,131",+32,+2.9,"776,900"
16/12/09,"1,014","1,100","1,010","1,099",+72,+7.0,"621,900"
16/12/02,"1,048","1,067","1,011","1,027",-13,-1.2,"669,700"
16/11/25,986,"1,073",986,"1,040",+61,+6.2,"840,600"
16/11/18,913,980,913,979,+78,+8.7,"981,900"
16/11/11,835,917,821,901,+76,+9.2,"1,258,900"
